d_total,d_milk,d_yogurt,d_cheese,oils,solid_fats,add_sugars,a_drinks,total_milk,total_dairy,subject_id
1.87247266666667,0.568683333333333,0,1.75898133333333,7.96967233333333,35.465246,9.88629066666667,0,0.28135,2.65980133333333,1163
1.55,0.975283333333333,0,0.708833333333333,13.956945,68.1595173333333,1.48269333333333,0,0.463553333333333,0.750862333333333,1227
1.53555633333333,0.645766666666667,0,1.7857,19.11405,20.8266166666667,8.66282666666667,1.847104,0.1084,1.44880417333333,1058
0.519926666666667,0.17514,0,1.94126666666667,16.3261,27.1394016666667,10.78912,0,0.353435333333333,4.041811,1256
1.58657166666667,0.221529666666667,0,1.33468766666667,92.78535,17.3473733333333,9.03436066666667,0,0.87552,3.551225,1287
1.16572166666667,0.914311333333333,0,0,22.2552643333333,28.4128416666667,25.9098346666667,1.04272,0.0419333333333333,1.2856135,1278
0.450073333333333,0.5664,0.251125,0.500377333333333,20.2508133333333,37.076816,5.09855,1.008,0.18964,2.92605,1223
0.554466666666667,0.3549,0,0,5.66338300333333,46.922894,1.500375,0,0.498498027210884,1.228311,1042
2.52137,0.700653333333333,0,2.82552933333333,16.491,37.5562203333333,1.17095,1.39872,0.07005,6.43113666666667,1036
1.05304166666667,0.376066666666667,0.0118,1.33022,20.7967333333333,10.214375,7.974339,0,0.1774,0.863266666666667,1136
0.3417705,0.107333333333333,0,0.325013333333333,28.0706403333333,82.1802856666667,3.8728375,0,0.0457333333333333,1.58657166666667,1054
3.63870033333333,0.726266666666667,0.837083333333333,0.29136,47.683697,20.0143175,8.82754333333333,0.5152,1.86754166666667,1.2450045,1159
0.485633333333333,0.1342,0.00116666666666667,2.64305,32.8315783333333,9.85174166666667,8.36985666666667,1.96262,0.0961333333333333,1.08056666666667,1134
1.56624266666667,0.0867,0.50225,1.58135066666667,26.8553833333333,28.1488041666667,10.9420066666667,0,0.615593333333333,1.37576,1308
0.0457333333333333,0.0966666666666667,0,2.0899,58.095446,46.7924156666667,4.80200666666667,0,0.596156133333333,0.922121666666667,1102
1.62326266666667,0.117333333333333,0,0.741644,25.18938,56.20571418,7.48901666666667,0.815733333333333,0.1342,0.140633333333333,1059
1.4007,0.0919833333333333,0.0953333333333333,0.900460333333333,28.5640016666667,38.1684766666667,4.795941,0.328416,0.849916666666667,0.838962,1050
1.7274,0.456775,0.50225,1.018216,30.500649,36.8391373333333,19.8436026666667,0,0.239266666666667,1.75765866666667,1106
0.216362666666667,0,0,0.913355,34.1656,24.5432382333333,4.26492633333333,0,0.554733333333333,1.104625,1170
2.34612633333333,0.191386666666667,0.0236,1.014675,38.585372,93.5444093333333,4.795941,0,1.24026666666667,0.06742,1193
1.4007,0.1084,0,0.818779166666667,21.8941916666667,10.6377613333333,18.43907,0,0.503866666666667,0.750862333333333,1082
2.22471666666667,0.946906666666667,0,4.60159916666667,20.09444,67.8952174666667,12.0571,5.65656,1.47605333333333,0.6972,1192
1.08978533333333,0.221529666666667,0,0.835388333333333,50.7413833333333,21.804145,23.65267,3.864,0.234466666666667,0.216362666666667,1165
1.552247,0.716414,0,3.4666666666666e-4,50.680165,47.196959,2.58963726666667,1.384936,0.726266666666667,0.612351573333333,1179
1.42906746533333,0.0132,1.84158333333333,0.41225,26.7276663333333,50.0857146666667,27.9247819033333,0,1.230175,0.218766666666667,1158
0.864,0.1421,0,0,16.2385886666667,44.2489133333333,2.84824,2.45952,1.12838333333333,1.21428533333333,1325
1.58657166666667,0.234466666666667,0.579615,0.33344,29.6640741666667,28.4592533333333,3.8728375,0,0.87552,1.46882833333333,1089
3.112985,0.234466666666667,0.753375,0,70.3290273333333,16.312259,2.08926666666667,0,0.0768,1.74481533333333,1103
3.86936833333333,0.591277333333333,0,0,40.188317,19.1301473333333,17.7310773333333,2.949408,0.914311333333333,1.56624266666667,1167
1.52654,0,0.2602,0.4408,37.07567,53.1524343333333,27.5881833333333,0,1.51652133333333,2.14599633333333,1310
